id,tag,rpm,load,in_spread,ex_spread,d_in_cam,d_ex_cam,ign,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s
de2f79d63739,tapA0.7,4600,100.0,88.0,104.0,0.0,0.0,27.0,0.7,,,"{""intake.eq_tube.rail_tap_taper_end"": ""21""}",94.71,118.2,0.8013,25,0.1957,1,1,0.0615,0,1,0,1,395.3
fcb120528edd,tapA0.7,3100,100.0,70.0,87.0,0.0,0.0,26.0,0.7,,,"{""intake.eq_tube.rail_tap_taper_end"": ""21""}",85.19,68.4,1.2455,25,0.2477,1,1,0.0293,0,1,0,1,543.7
a5eb223a9cc8,tapA0.8,3100,100.0,70.0,87.0,0.0,0.0,26.0,0.8,,,"{""intake.eq_tube.rail_tap_taper_end"": ""21""}",85.41,68.4,1.2487,25,0.2738,1,1,0.0306,0,1,0,1,294.9
9838bcaac626,tapA0.7,3900,100.0,70.0,87.0,0.0,0.0,25.0,0.7,,,"{""intake.eq_tube.rail_tap_taper_end"": ""21""}",78.73,129.5,0.608,39,0.1853,1,1,0.0113,0,1,0,1,791.4
80dc85880f16,tapA0.8,3900,100.0,70.0,87.0,0.0,0.0,25.0,0.8,,,"{""intake.eq_tube.rail_tap_taper_end"": ""21""}",114.76,129.5,0.8861,34,-0.0689,1,1,0.0504,0,1,0,1,399.7
dac12fec656a,tapA0.8,4600,100.0,88.0,104.0,0.0,0.0,27.0,0.8,,,"{""intake.eq_tube.rail_tap_taper_end"": ""21""}",101.96,118.2,0.8626,36,0.2855,1,1,0.0502,0,1,0,1,331.3
a87c55c455b8,tapA0.8,2700,100.0,80.0,93.0,0.0,0.0,24.0,0.8,,,"{""intake.eq_tube.rail_tap_taper_end"": ""21""}",76.74,74.8,1.026,25,0.1509,1,1,0.0023,0,1,0,1,310.7
