id,tag,rpm,load,in_spread,ex_spread,d_in_cam,d_ex_cam,ign,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s
ec570a9aa92a,r2_mesh075,4600,100.0,88.0,104.0,0.0,0.0,27.0,,,,{},123.93,118.2,1.0485,36,-0.2256,1,1,0.0109,0,1,0,1,414.8
c45b85608a6b,r2_mesh075,2700,100.0,80.0,93.0,0.0,0.0,24.0,,,,{},101.73,74.8,1.3601,25,-0.1528,1,1,0.0035,0,1,0,1,568.0
bbf4e9790681,r2_mesh075,5300,100.0,88.0,105.0,0.0,0.0,27.0,,,,{},141.07,117.1,1.2047,49,0.2946,1,1,0.0182,0,1,0,1,660.4
8849311c6bc2,r2_mesh075,6300,100.0,96.0,108.0,0.0,0.0,29.0,,,,{},128.95,109.7,1.1755,38,0.2588,1,1,0.4147,0,1,0,1,724.1
