id,tag,rpm,load,in_spread,ex_spread,d_in_cam,d_ex_cam,ign,alpha,again,sigma_bp,sets,ve,stock,ratio,cyc,slope,converged,cyl_ok,spread,collapsed_n,nan_free,blew_up,valid,elapsed_s
e210ab4d7341,r31_pla6,3900,45.0,78.0,87.0,0.0,0.0,25.0,0.6,,,{},68.39,121.2,0.5643,25,0.2328,1,1,0.0518,0,1,0,1,374.3
2428f4d8eb08,r31_pla6,1600,64.99,70.0,83.0,0.0,0.0,18.0,0.6,,,{},64.7,97.8,0.6615,25,0.0923,1,1,0.0385,0,1,0,1,643.9
0d099f19afe3,r31_pla6,3900,64.99,70.0,87.0,0.0,0.0,25.0,0.6,,,{},97.75,128.8,0.7589,56,0.2913,1,1,0.0161,0,1,0,1,788.7
6d233cefdd6d,r31_pla6,1600,45.0,70.0,83.0,0.0,0.0,18.0,0.6,,,{},66.09,95.2,0.6943,25,0.0975,1,1,0.0138,0,1,0,1,812.7
f120df8b7775,r31_pla6,5300,45.0,88.0,105.0,0.0,0.0,27.0,0.6,,,{},131.44,105.1,1.2506,41,-0.093,1,1,0.0508,0,1,0,1,362.1
686a19bec1dd,r31_pla6,2200,64.99,75.0,83.0,0.0,0.0,21.0,0.6,,,{},99.91,75.1,1.3303,38,0.2952,1,1,0.0045,0,1,0,1,829.0
2e1b337bd303,r31_pla6,4600,45.0,88.0,104.0,0.0,0.0,27.0,0.6,,,{},119.88,108.0,1.11,34,0.2367,1,1,0.3972,0,1,0,1,442.8
002870eb9eda,r31_pla6,870,64.99,97.0,100.0,0.0,0.0,9.0,0.6,,,{},67.82,109.3,0.6205,25,0.132,1,1,0.0288,0,1,0,1,1331.0
