RelOpening,600,870,1100,1300,1400,1600,1800,2100,2200,2400,2700,2900,3100,3900,4600,5300,6300,6900,7300,7900
85.01,0.0,93.19,93.19,0.0,93.19,93.19,93.19,93.19,0.0,93.19,93.19,93.19,93.19,93.19,93.19,93.19,93.19,93.19,93.19,93.19
