rpm,load,stock,sim,valid,cyc
2700,100,103.7,94.7,1,17
3900,100,115.7,115.5,1,17
5300,100,110.1,122.5,1,17
6900,100,106.0,124.1,1,17
2700,65,101.7,66.9,0,12
3900,65,111.8,95.3,0,15
5300,65,107.3,109.3,1,17
6900,65,101.2,68.9,0,17
2700,45,97.2,69.8,1,17
3900,45,105.3,76.1,1,17
5300,45,101.9,81.3,1,17
6900,45,92.1,74.7,1,17
2700,20,92.5,63.6,1,15
3900,20,86.5,66.6,1,17
5300,20,83.9,59.5,1,17
6900,20,70.3,39.3,1,17
6900,20,70.3,39.3,1,17
