rpm,load,base,exbias,stock,sim,valid,cyc
5300,65,150,45.0,107.3,129.0,1,28
5300,45,150,45.0,101.9,87.3,1,28
5300,20,150,52.0,83.9,65.9,1,27
6900,65,150,39.0,101.2,64.8,1,24
6900,45,150,42.0,92.1,81.3,1,29
6900,20,150,47.0,70.3,47.0,1,27
